Team,Skill-Gap,num_times_cluster_0,num_times_cluster_1,dominant_cluster,percent_dominant_cluster,sample_size (num_games)
Mainz 05,1,1.0,1.0,0,50.0,2.0
Borussia Dortmund,-1,0.0,2.0,1,100.0,2.0
Borussia Dortmund,0,8.0,6.0,0,57.14,14.0
Borussia Dortmund,1,16.0,2.0,0,88.89,18.0
Wolfsburg,-1,6.0,14.0,1,70.0,20.0
Wolfsburg,0,6.0,6.0,0,50.0,12.0
Wolfsburg,1,1.0,1.0,0,50.0,2.0
Villarreal,-1,3.0,5.0,1,62.5,8.0
Villarreal,0,4.0,6.0,1,60.0,10.0
Villarreal,1,8.0,12.0,1,60.0,20.0
Levante,-1,0.0,14.0,1,100.0,14.0
Levante,0,3.0,15.0,1,83.33,18.0
Levante,1,1.0,5.0,1,83.33,6.0
Real Sociedad,-1,7.0,5.0,0,58.33,12.0
Real Sociedad,0,11.0,9.0,0,55.0,20.0
Real Sociedad,1,4.0,2.0,0,66.67,6.0
Celta de Vigo,-1,9.0,3.0,0,75.0,12.0
Celta de Vigo,0,15.0,5.0,0,75.0,20.0
Celta de Vigo,1,3.0,3.0,0,50.0,6.0
Athletic Club,-1,4.0,12.0,1,75.0,16.0
Athletic Club,0,5.0,11.0,1,68.75,16.0
Athletic Club,1,3.0,3.0,0,50.0,6.0
Getafe,-1,0.0,8.0,1,100.0,8.0
Getafe,0,0.0,24.0,1,100.0,24.0
Getafe,1,1.0,5.0,1,83.33,6.0
Atlético Madrid,-1,0.0,2.0,1,100.0,2.0
Atlético Madrid,0,2.0,2.0,0,50.0,4.0
Atlético Madrid,1,14.0,18.0,1,56.25,32.0
Girona,-1,1.0,9.0,1,90.0,10.0
Girona,0,3.0,19.0,1,86.36,22.0
Girona,1,1.0,5.0,1,83.33,6.0
Sevilla,-1,4.0,4.0,0,50.0,8.0
Sevilla,0,7.0,9.0,1,56.25,16.0
Sevilla,1,9.0,5.0,0,64.29,14.0
Espanyol,-1,3.0,9.0,1,75.0,12.0
Espanyol,0,8.0,12.0,1,60.0,20.0
Espanyol,1,1.0,5.0,1,83.33,6.0
Málaga,-1,3.0,31.0,1,91.18,34.0
Málaga,0,0.0,4.0,1,100.0,4.0
Málaga,1,0.0,0.0,0,0.0,0.0
Eibar,-1,3.0,7.0,1,70.0,10.0
Eibar,0,5.0,17.0,1,77.27,22.0
Eibar,1,3.0,3.0,0,50.0,6.0
Barcelona,-1,0.0,0.0,0,0.0,0.0
Barcelona,0,0.0,0.0,0,0.0,0.0
Barcelona,1,37.0,1.0,0,97.37,38.0
Real Betis,-1,5.0,3.0,0,62.5,8.0
Real Betis,0,7.0,5.0,0,58.33,12.0
Real Betis,1,13.0,5.0,0,72.22,18.0
Real Madrid,-1,1.0,1.0,0,50.0,2.0
Real Madrid,0,4.0,0.0,0,100.0,4.0
Real Madrid,1,29.0,3.0,0,90.62,32.0
Deportivo La Coruña,-1,6.0,28.0,1,82.35,34.0
Deportivo La Coruña,0,0.0,4.0,1,100.0,4.0
Deportivo La Coruña,1,0.0,0.0,0,0.0,0.0
Valencia,-1,0.0,2.0,1,100.0,2.0
Valencia,0,2.0,2.0,0,50.0,4.0
Valencia,1,12.0,20.0,1,62.5,32.0
Las Palmas,-1,15.0,19.0,1,55.88,34.0
Las Palmas,0,2.0,2.0,0,50.0,4.0
Las Palmas,1,0.0,0.0,0,0.0,0.0
Deportivo Alavés,-1,0.0,14.0,1,100.0,14.0
Deportivo Alavés,0,1.0,17.0,1,94.44,18.0
Deportivo Alavés,1,0.0,6.0,1,100.0,6.0
Leganés,-1,0.0,16.0,1,100.0,16.0
Leganés,0,0.0,16.0,1,100.0,16.0
Leganés,1,2.0,4.0,1,66.67,6.0
Roma,-1,3.0,1.0,0,75.0,4.0
Roma,0,2.0,2.0,0,50.0,4.0
Roma,1,26.0,4.0,0,86.67,30.0
Atalanta,-1,5.0,5.0,0,50.0,10.0
Atalanta,0,4.0,4.0,0,50.0,8.0
Atalanta,1,16.0,4.0,0,80.0,20.0
Bologna,-1,2.0,18.0,1,90.0,20.0
Bologna,0,6.0,8.0,1,57.14,14.0
Bologna,1,1.0,3.0,1,75.0,4.0
Torino,-1,2.0,10.0,1,83.33,12.0
Torino,0,0.0,6.0,1,100.0,6.0
Torino,1,12.0,8.0,0,60.0,20.0
Milan,-1,3.0,3.0,0,50.0,6.0
